id,station,date,temperature,humidity,rain_mm,wind_kmh,irrigation
1,ST-01,2025-06-01,22.5,65.0,0.0,12.0,OFF
2,ST-01,2025-06-02,24.1,58.0,0.0,15.0,ON
4,ST-01,2025-06-03,23.8,62.0,0.0,10.0,ON
8,ST-01,2025-06-04,23.8,60.0,0.0,14.0,ON
12,ST-01,2025-06-05,23.8,63.0,0.0,13.0,ON
3,ST-02,2025-06-01,21.8,70.0,2.5,8.0,OFF
7,ST-02,2025-06-03,19.5,60.0,5.0,22.0,OFF
13,ST-02,2025-06-04,18.9,72.0,8.0,7.0,OFF
5,ST-02,2025-06-15,23.0,55.0,0.5,18.0,ON
10,ST-03,2025-06-01,25.5,60.0,0.0,11.0,ON
11,ST-03,2025-06-02,26.2,48.0,0.0,13.5,OFF
14,ST-03,2025-06-03,27.1,45.0,0.0,20.0,ON
16,ST-03,2025-06-04,28.3,42.0,0.0,25.0,ON
